_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included,review_scores,cleaning_fee,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,market,country,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365
20906942,Apartment,Entire home/apt,Real Bed,1,1125,moderate,4,1,2,65,1,135,20,2,91,88,within an hour,100.0,No,Yes,No,1,1,Sydney,Australia,151.19665,-33.88181,Yes,8,18,27,111
20969380,Condominium,Entire home/apt,Real Bed,3,1120,strict_14_with_grace_period,12,4,4,1,3,1701,150,10,100,300,within an hour,100.0,Yes,Yes,No,5,5,Rio De Janeiro,Brazil,-43.344495885394124,-23.009052932155523,Yes,6,31,52,323
21056118,Apartment,Private room,Real Bed,1,1123,moderate,2,1,1,42,2,15,10,1,88,10,within an hour,99.0,No,Yes,No,13,13,Barcelona,Spain,2.19112,41.41492,No,20,36,66,330
21127680,Apartment,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,4,1,1,62,1,151,30,2,92,80,within an hour,100.0,No,Yes,No,10,10,Sydney,Australia,151.20899,-33.87929,No,6,18,30,121
2119780,House,Entire home/apt,Real Bed,1,120,strict_14_with_grace_period,12,5,6,0,6,1865,186,10,0,338,within a few hours,100.0,No,Yes,Yes,2,2,Rio De Janeiro,Brazil,-43.35434051966628,-23.00821011766656,No,0,4,34,309
21451259,Apartment,Entire home/apt,Real Bed,5,100,strict_14_with_grace_period,5,2,3,3,1,181,0,1,100,140,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.24671,-33.90454,Yes,0,0,0,0
21584327,Guesthouse,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2,1,2,11,1,175,0,1,98,80,within a few hours,90.0,Yes,Yes,No,2,2,The Big Island,United States,-154.93037,19.3994,Yes,17,39,69,249
2161352,Apartment,Private room,Real Bed,15,1125,strict_14_with_grace_period,3,1,2,2,1,699,100,1,100,0,within a few hours,80.0,No,Yes,Yes,13,13,Hong Kong,Hong Kong,114.17082,22.3043,No,16,23,45,135
21796094,Serviced apartment,Entire home/apt,Real Bed,30,1125,moderate,4,2,2,0,1,140,0,1,0,0,within a few hours,90.0,No,Yes,Yes,256,256,Montreal,Canada,-73.56243,45.50377,Yes,29,59,89,364
21822223,Serviced apartment,Private room,Real Bed,2,1125,flexible,1,1,1,0,1,105,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Istanbul,Turkey,28.9937,41.17387,No,29,59,89,179
2187155,Apartment,Private room,Real Bed,1,1125,flexible,6,1,6,0,2,2611,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Rio De Janeiro,Brazil,-43.22026380561493,-22.92322624540684,Yes,30,60,90,365
21871576,Townhouse,Entire home/apt,Real Bed,2,21,moderate,5,3,3,36,1,160,100,5,99,65,within an hour,100.0,Yes,Yes,No,1,1,New York,United States,-73.94071,40.62857,Yes,23,47,71,150
21968496,Apartment,Private room,Real Bed,1,1125,flexible,2,1,1,0,1,243,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Hong Kong,Hong Kong,114.13928,22.4926,No,0,0,0,0
21983555,House,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,10,5,6,0,5,1321,0,1,0,693,within a few hours,96.0,No,Yes,Yes,130,130,Sydney,Australia,151.27716,-33.85372,Yes,0,18,48,137
21986801,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1,1,6,1,754,0,1,100,210,within a day,100.0,No,Yes,No,1,1,Hong Kong,Hong Kong,114.1496,22.28451,Yes,0,0,0,0
22042206,Apartment,Private room,Real Bed,31,160,strict_14_with_grace_period,1,1,1,1,1,15,0,1,100,0,a few days or more,20.0,No,Yes,Yes,3,3,Barcelona,Spain,2.18496,41.41015,Yes,0,0,0,30
22130088,Apartment,Private room,Real Bed,1,10000,flexible,1,1,1,1,1,35,0,1,0,0,within a day,50.0,No,Yes,No,1,1,Montreal,Canada,-73.58899,45.52856,No,9,39,69,69
22191831,Apartment,Private room,Real Bed,2,30,strict_14_with_grace_period,2,1,1,4,1,67,15,2,100,50,within an hour,100.0,No,Yes,Yes,1,1,New York,United States,-73.95261,40.81244,Yes,2,3,3,3
